Date,Company,Symbol,Sector,Open,High,Low,Close,Volume,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Histogram,RSI,BB_Upper,BB_Middle,BB_Lower,NIFTY_50,NIFTY_BANK,NIFTY_IT,NIFTY_AUTO,NIFTY_PHARMA,Price_Change,Price_Change_Abs,High_Low_Ratio,Volume_MA_5,Volume_Ratio,DayOfWeek,Month,Quarter
2025-05-04,HDFC Bank,HDFCBANK.NS,Banking,1623.9,1645.67,1611.77,1623.9,4596388,1623.9,1623.9,1623.9,1623.9,1623.9,0.0,0.0,0.0,50.0,1697.87,1623.9,1549.93,19205.34,43062.39,30483.4,15793.72,13308.54,,,1.0210327776295627,,,6,5,2
2025-05-04,Infosys,INFY.NS,IT Services,1549.48,1574.15,1531.6,1549.48,2001510,1549.48,1549.48,1549.48,1549.48,1549.48,0.0,0.0,0.0,50.0,1635.43,1549.48,1463.53,19205.34,43062.39,30483.4,15793.72,13308.54,,,1.0277814050665972,,,6,5,2
2025-05-04,Reliance Industries,RELIANCE.NS,Oil & Gas,2892.52,2901.09,2846.47,2892.52,5805761,2892.52,2892.52,2892.52,2892.52,2892.52,0.0,0.0,0.0,50.0,3195.96,2892.52,2589.08,19205.34,43062.39,30483.4,15793.72,13308.54,,,1.0191886793115685,,,6,5,2
2025-05-04,Sun Pharma,SUNPHARMA.NS,Pharmaceuticals,1402.77,1428.0,1383.74,1402.77,6547828,1402.77,1402.77,1402.77,1402.77,1402.77,0.0,0.0,0.0,50.0,1560.5,1402.77,1245.04,19205.34,43062.39,30483.4,15793.72,13308.54,,,1.0319857776749968,,,6,5,2
2025-05-04,Tata Motors,TATAMOTORS.NS,Automobile,939.82,954.16,922.7,939.82,4049559,939.82,939.82,939.82,939.82,939.82,0.0,0.0,0.0,50.0,1043.75,939.82,835.89,19205.34,43062.39,30483.4,15793.72,13308.54,,,1.0340955890321881,,,6,5,2
2025-05-05,HDFC Bank,HDFCBANK.NS,Banking,1623.9,1657.92,1605.55,1634.97,1942021,1634.97,1634.97,1634.97,1629.9,1629.65,0.2484,0.138,0.1104,50.0,1708.94,1634.97,1561.0,19140.77,43531.54,30626.94,15785.27,13272.67,0.0068169222242748795,0.0068169222242748795,1.0326181059450033,,,0,5,2
2025-05-05,Infosys,INFY.NS,IT Services,1549.48,1567.66,1528.83,1550.11,1355646,1550.11,1550.11,1550.11,1549.82,1549.81,0.0141,0.0079,0.0063,50.0,1636.06,1550.11,1464.16,19140.77,43531.54,30626.94,15785.27,13272.67,0.00040658801662485367,0.00040658801662485367,1.025398507355298,,,0,5,2
2025-05-05,Reliance Industries,RELIANCE.NS,Oil & Gas,2892.52,2932.87,2892.52,2925.41,2010560,2925.41,2925.41,2925.41,2910.34,2909.6,0.7379,0.41,0.328,50.0,3228.85,2925.41,2621.97,19140.77,43531.54,30626.94,15785.27,13272.67,0.011370707894845955,0.011370707894845955,1.0139497738995755,,,0,5,2
2025-05-05,Sun Pharma,SUNPHARMA.NS,Pharmaceuticals,1402.77,1412.85,1387.16,1403.81,3046944,1403.81,1403.81,1403.81,1403.33,1403.31,0.0233,0.013,0.0104,50.0,1561.54,1403.81,1246.08,19140.77,43531.54,30626.94,15785.27,13272.67,0.0007413902492925395,0.0007413902492925395,1.0185198535136537,,,0,5,2
2025-05-05,Tata Motors,TATAMOTORS.NS,Automobile,939.82,959.45,938.08,952.27,3921725,952.27,952.27,952.27,946.56,946.28,0.2793,0.1552,0.1241,50.0,1056.2,952.27,848.34,19140.77,43531.54,30626.94,15785.27,13272.67,0.013247217552297075,0.013247217552297075,1.0227805730854511,,,0,5,2
2025-05-06,HDFC Bank,HDFCBANK.NS,Banking,1634.97,1654.22,1617.17,1631.91,1234260,1631.91,1631.91,1631.91,1630.68,1630.46,0.2216,0.1722,0.0493,50.0,1705.88,1631.91,1557.94,19044.32,43315.12,30813.16,15669.79,13404.4,-0.0018715939742013354,0.0018715939742013354,1.022910392846763,,,1,5,2
2025-05-06,Infosys,INFY.NS,IT Services,1550.11,1550.11,1539.54,1544.23,4527582,1544.23,1544.23,1544.23,1547.64,1547.8,-0.1643,-0.0627,-0.1016,50.0,1630.18,1544.23,1458.28,19044.32,43315.12,30813.16,15669.79,13404.4,-0.0037932791866382987,0.0037932791866382987,1.0068656871533055,,,1,5,2
2025-05-06,Reliance Industries,RELIANCE.NS,Oil & Gas,2925.41,2925.41,2880.13,2885.02,1754819,2885.02,2885.02,2885.02,2900.45,2900.77,-0.3122,0.114,-0.4262,50.0,3188.46,2885.02,2581.58,19044.32,43315.12,30813.16,15669.79,13404.4,-0.013806611722801176,0.013806611722801176,1.015721512570613,,,1,5,2
2025-05-06,Sun Pharma,SUNPHARMA.NS,Pharmaceuticals,1403.81,1403.81,1384.09,1398.83,1685287,1398.83,1398.83,1398.83,1401.58,1401.7,-0.1247,-0.0435,-0.0812,50.0,1556.56,1398.83,1241.1,19044.32,43315.12,30813.16,15669.79,13404.4,-0.0035474886202548905,0.0035474886202548905,1.0142476284056672,,,1,5,2
2025-05-06,Tata Motors,TATAMOTORS.NS,Automobile,952.27,977.61,943.71,959.7,1481062,959.7,959.7,959.7,951.69,951.1,0.5863,0.3319,0.2544,50.0,1063.63,959.7,855.77,19044.32,43315.12,30813.16,15669.79,13404.4,0.007802408980646325,0.007802408980646325,1.0359220523253965,,,1,5,2
2025-05-07,HDFC Bank,HDFCBANK.NS,Banking,1631.91,1656.09,1631.91,1653.73,7355797,1653.73,1653.73,1653.73,1637.96,1636.97,0.9918,0.4499,0.5419,50.0,1727.7,1653.73,1579.76,19045.82,43047.66,31138.4,15423.04,13447.23,0.013370835401462111,0.013370835401462111,1.0148169935842049,,,2,5,2
